entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,exit_reason,roi,roi_pct,pnl,minutes_held,max_price,min_price,max_gain_pct,max_loss_pct
7248,2026-02-05 20:48:00+00:00,78.09300178467382,7270,2026-02-05 21:10:00+00:00,79.04938768594337,ROLLING_STOP,0.012246755527551662,1.2246755527551663,12.246755527551661,22,80.74876888154286,78.01981389302473,3.4007747636488608,-0.09371888642581
7249,2026-02-05 20:49:00+00:00,78.01981389302473,7270,2026-02-05 21:10:00+00:00,79.04938768594337,ROLLING_STOP,0.013196311828304528,1.3196311828304528,13.196311828304529,21,80.74876888154286,78.01981389302473,3.4977717227829803,0.0
7250,2026-02-05 20:50:00+00:00,78.17577331523842,7270,2026-02-05 21:10:00+00:00,79.04938768594337,ROLLING_STOP,0.011175001329147928,1.1175001329147929,11.175001329147928,20,80.74876888154286,78.17577331523842,3.2912953171937485,0.0
7273,2026-02-05 21:13:00+00:00,78.74977149317358,7306,2026-02-05 21:46:00+00:00,78.87227818755724,ROLLING_STOP,0.0015556450775768783,0.15556450775768782,1.5556450775768784,33,80.49474253086677,78.53218075670641,2.2158426679935865,-0.276306498852552
7306,2026-02-05 21:46:00+00:00,78.87227818755724,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015427629950960819,-1.542762995096082,-15.427629950960819,26,79.51892845282693,77.65546586629037,0.8198701497273336,-1.542762995096082
7307,2026-02-05 21:47:00+00:00,78.7812919249182,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.014290525467655203,-1.4290525467655202,-14.290525467655202,25,79.51892845282693,77.65546586629037,0.9363092555168196,-1.4290525467655202
7308,2026-02-05 21:48:00+00:00,78.77930419571724,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.014265654424096457,-1.4265654424096457,-14.265654424096457,24,79.51892845282693,77.65546586629037,0.9388560417748536,-1.4265654424096457
7309,2026-02-05 21:49:00+00:00,78.89408561176171,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015699779468471124,-1.5699779468471124,-15.699779468471123,23,79.51892845282693,77.65546586629037,0.7920021332651883,-1.5699779468471124
7310,2026-02-05 21:50:00+00:00,78.90552297638995,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.015842453898615143,-1.5842453898615143,-15.842453898615144,22,79.51892845282693,77.65546586629037,0.7773923209665862,-1.5842453898615143
7311,2026-02-05 21:51:00+00:00,78.38230527667841,7332,2026-02-05 22:12:00+00:00,77.65546586629037,ROLLING_STOP,-0.009273003745199867,-0.9273003745199867,-9.273003745199867,21,79.51892845282693,77.65546586629037,1.4501017444388753,-0.9273003745199867
